,Year,Crop Type,Yield (kg/ha),Avg Temp (°C),Total Rainfall (mm),Avg Sunlight (hours/day),Soil pH,Soil Moisture (%),Fertilizer Used (kg/ha),Pesticide Used (L/ha),Region
1930,2018,Corn,8415,28.7,372,11.6,6.7,35.7,122,6.4,South
1931,2019,Rice,6946,27.8,312,11.7,6.6,35.1,114,5.9,North
1932,2020,Rice,6729,20.0,284,10.3,6.3,38.2,150,6.0,West
1933,2023,Wheat,7752,26.4,288,9.0,6.5,27.7,159,4.8,North
1934,2022,Corn,8249,24.7,373,7.1,6.7,24.8,156,5.9,South
1935,2022,Corn,5243,17.7,397,9.6,6.4,35.9,154,4.6,South
1936,2023,Wheat,7265,28.7,368,9.7,6.1,42.5,97,6.5,North
1937,2024,Rice,8438,30.0,382,6.7,5.9,39.0,111,6.4,West
1938,2024,Rice,7011,26.2,353,7.5,5.9,28.6,150,6.3,South
1939,2018,Wheat,5573,20.0,404,7.8,6.3,32.9,139,4.6,South
1940,2018,Wheat,5931,24.2,327,11.2,6.4,28.5,150,4.9,North
1941,2020,Rice,7972,18.4,362,9.5,6.0,27.6,131,5.0,North
1942,2021,Corn,7717,20.9,290,7.5,6.0,42.4,129,5.8,North
1943,2019,Wheat,4797,26.3,409,7.9,5.9,27.2,156,6.5,North
1944,2018,Wheat,6692,20.9,286,6.9,6.1,38.6,137,4.9,West
1945,2022,Wheat,4515,18.9,384,6.3,6.4,31.4,154,5.8,West
1946,2020,Wheat,7656,17.1,336,9.1,6.5,29.4,149,6.6,North
1947,2019,Wheat,7787,24.4,310,6.2,6.7,43.6,112,5.4,West
1948,2020,Wheat,8053,29.6,400,12.0,6.4,42.6,145,5.6,West
1949,2019,Rice,5575,23.3,360,10.6,6.0,28.8,106,5.8,North
1950,2019,Rice,8119,19.8,358,10.7,6.5,32.6,120,6.2,North
1951,2023,Wheat,4606,23.0,373,10.5,6.7,38.8,138,5.3,North
1952,2018,Rice,4718,24.8,374,9.8,6.0,41.1,152,5.6,North
1953,2020,Corn,7482,27.4,288,6.4,6.6,33.2,125,6.4,South
1954,2020,Corn,6884,22.9,288,8.7,6.6,43.2,128,5.6,North
1955,2023,Wheat,7468,19.2,392,7.7,6.1,32.8,143,6.2,West
1956,2022,Corn,4870,19.4,401,7.8,6.3,26.2,148,5.2,West
1957,2022,Corn,7545,28.7,409,8.2,6.2,44.6,130,6.8,West
1958,2024,Rice,7357,20.1,387,7.9,6.1,43.5,125,6.5,West
1959,2018,Rice,4753,26.5,365,10.0,6.3,40.2,134,6.8,West
1960,2018,Rice,5928,20.5,295,6.0,6.7,42.7,148,4.8,South
1961,2021,Rice,7127,26.4,281,8.2,5.9,37.6,151,5.8,West
1962,2023,Corn,6508,18.0,405,11.7,6.7,32.4,142,4.7,North
1963,2022,Wheat,6222,19.7,397,7.5,5.9,31.9,114,4.6,West
1964,2019,Rice,7183,22.3,407,9.7,6.2,30.4,118,6.6,North
1965,2020,Corn,7601,23.7,322,9.4,5.8,38.4,131,5.2,West
1966,2018,Rice,6732,21.6,342,8.9,6.5,30.2,149,6.1,South
1967,2020,Corn,5812,24.5,404,6.7,5.9,31.2,118,6.1,West
1968,2020,Rice,7930,21.2,298,11.0,6.6,34.5,144,6.7,South
1969,2021,Wheat,7021,25.8,302,9.4,6.7,33.4,107,5.6,North
1970,2022,Rice,5484,23.6,387,9.2,6.2,25.0,154,7.0,North
1971,2018,Wheat,8136,26.2,298,11.7,6.8,33.0,140,5.5,West
1972,2020,Rice,7971,22.6,407,6.5,6.2,34.3,140,6.8,North
1973,2018,Rice,8260,28.4,408,8.9,6.3,35.7,132,7.0,North
1974,2019,Rice,7531,22.0,322,10.2,6.2,42.3,152,4.6,North
1975,2021,Corn,7704,21.0,304,10.8,6.3,31.3,115,5.7,South
1976,2019,Corn,7049,24.2,285,6.0,6.7,38.7,95,5.1,West
1977,2018,Wheat,8074,23.6,360,10.1,5.9,43.3,117,5.7,South
1978,2024,Wheat,7421,23.7,355,11.7,6.2,43.6,133,6.2,South
1979,2018,Corn,7648,27.3,304,10.4,6.2,43.7,143,4.6,West
1980,2022,Wheat,4849,24.7,398,8.5,5.9,41.6,97,6.5,North
1981,2020,Wheat,6607,28.5,401,11.3,6.6,35.7,106,4.9,North
1982,2020,Corn,5978,25.0,382,11.3,5.9,38.8,123,5.7,South
1983,2019,Corn,5378,17.3,338,10.1,5.8,25.4,114,5.7,North
1984,2021,Corn,7012,28.3,398,10.0,6.8,27.9,158,5.8,North
1985,2024,Corn,4810,27.9,334,8.1,6.5,44.8,136,4.6,North
1986,2023,Rice,5614,17.6,354,7.5,6.5,24.5,130,5.5,West
1987,2020,Corn,7478,18.6,366,9.8,6.4,24.6,126,4.9,South
1988,2022,Wheat,7512,24.2,403,6.0,6.0,29.0,140,5.3,South
1989,2019,Rice,5821,17.6,356,11.1,6.3,35.8,145,4.7,North
1990,2019,Rice,7896,22.3,372,11.4,6.6,28.2,127,5.8,North
1991,2023,Wheat,4779,29.7,358,7.0,6.5,26.2,152,5.6,West
1992,2022,Rice,7258,19.2,287,9.4,6.4,27.1,102,5.7,West
1993,2021,Wheat,5466,19.7,377,7.1,5.9,33.7,151,6.0,South
1994,2022,Rice,7689,25.8,396,9.0,6.4,35.1,140,4.9,North
1995,2021,Rice,5194,17.6,334,9.8,5.9,29.3,149,7.0,North
1996,2022,Wheat,5409,27.7,316,8.3,6.7,44.0,126,6.5,West
1997,2022,Wheat,7114,19.6,369,11.4,6.7,41.0,113,5.4,North
1998,2018,Wheat,4770,23.9,293,11.3,5.8,33.9,102,6.3,South
1999,2019,Wheat,6040,20.2,368,9.2,6.0,27.5,131,5.4,North
2000,2022,Corn,5624,25.6,346,9.5,6.4,42.7,152,6.8,South
2001,2023,Corn,5911,24.6,358,6.0,5.8,27.2,131,6.9,South
2002,2022,Wheat,5809,29.3,401,8.0,6.7,38.4,124,7.0,South
2003,2020,Corn,7527,22.8,297,10.6,6.7,37.1,106,5.1,South
2004,2019,Wheat,7624,28.4,290,12.0,6.0,42.5,152,4.8,West
2005,2020,Wheat,6253,24.5,353,11.7,6.7,30.7,116,5.2,South
2006,2019,Rice,5340,28.9,405,6.6,6.5,29.2,117,5.1,South
2007,2020,Wheat,6321,20.8,389,8.5,6.3,32.9,130,5.7,North
2008,2022,Wheat,5503,24.1,352,6.3,6.3,42.5,146,4.6,South
2009,2022,Wheat,4739,22.1,282,11.0,6.1,26.9,153,5.8,North
2010,2018,Wheat,7785,17.9,281,10.4,6.4,43.9,154,4.9,South
2011,2023,Rice,6139,24.5,367,11.5,6.4,37.9,158,5.0,South
2012,2020,Wheat,4860,27.3,335,9.0,6.0,25.6,126,4.6,West
2013,2021,Rice,7935,24.2,337,6.6,6.3,36.7,143,6.3,West
2014,2018,Wheat,5233,20.6,280,9.5,5.9,35.1,98,4.8,South
2015,2020,Rice,5351,20.4,392,11.2,6.6,37.2,102,6.0,West
2016,2020,Corn,5359,20.1,350,6.3,6.6,34.4,159,6.7,West
2017,2018,Rice,5200,29.7,381,10.9,6.7,40.8,103,5.2,South
2018,2022,Rice,5850,22.2,324,9.7,5.8,41.6,121,4.6,North
2019,2020,Wheat,7383,21.1,402,6.8,6.5,35.7,122,5.7,South
2020,2022,Rice,8047,22.4,296,10.0,6.7,26.0,95,5.5,North
2021,2018,Rice,5322,18.5,309,6.4,6.1,34.5,136,5.7,South
2022,2022,Wheat,6134,19.5,316,7.0,6.6,26.0,100,4.6,South
2023,2019,Corn,4596,23.6,297,6.4,5.8,24.5,129,5.4,West
2024,2021,Corn,4826,27.4,290,9.5,6.5,33.0,109,4.6,West
2025,2024,Corn,6620,28.4,339,7.7,6.0,44.4,104,6.8,North
2026,2020,Rice,5493,28.3,359,7.7,5.9,27.6,140,5.7,South
2027,2023,Wheat,5779,29.3,317,9.9,6.3,40.9,159,6.9,North
2028,2021,Corn,6266,18.6,325,6.7,6.2,24.2,114,4.8,West
2029,2024,Corn,7741,17.5,321,9.8,6.4,25.9,124,5.4,North
2030,2022,Corn,5493,18.4,302,10.2,6.7,41.6,136,5.7,South
2031,2020,Corn,4832,24.8,385,11.1,6.2,32.0,104,7.0,North
2032,2022,Wheat,5680,24.2,313,10.0,6.7,44.3,146,4.8,South
2033,2019,Corn,7990,25.7,334,9.9,6.1,25.3,117,6.3,North
2034,2018,Rice,6464,21.8,294,9.9,6.6,31.0,114,6.9,North
2035,2020,Rice,7005,22.1,358,6.2,6.4,36.2,128,5.8,North
2036,2024,Wheat,7281,24.1,290,8.7,6.3,38.4,132,6.9,West
2037,2024,Corn,7423,18.0,337,9.3,6.2,34.6,95,5.1,West
2038,2019,Corn,7405,27.4,321,10.0,6.7,41.7,113,5.2,West
2039,2019,Rice,4598,29.0,360,7.7,6.4,37.9,158,4.6,North
2040,2020,Wheat,7279,22.0,368,10.1,6.2,43.7,136,6.0,West
2041,2022,Rice,7472,26.6,396,8.4,6.4,40.4,139,5.9,South
2042,2023,Wheat,4743,24.1,331,10.3,6.4,44.3,139,6.1,South
2043,2024,Wheat,8342,20.1,292,7.1,6.7,39.5,111,6.7,South
2044,2024,Wheat,6000,17.9,311,7.8,5.8,29.0,159,5.9,North
2045,2019,Rice,5964,20.2,318,11.7,6.2,34.9,154,4.9,West
2046,2021,Wheat,7765,24.9,357,10.5,6.3,31.3,147,4.6,West
2047,2019,Rice,5898,17.5,342,11.4,6.0,33.7,127,4.6,North
2048,2023,Rice,7209,27.9,299,7.2,5.8,34.2,124,6.1,West
2049,2022,Corn,7553,29.6,295,11.7,5.8,44.0,108,6.3,West
2050,2022,Rice,4866,18.1,384,10.5,6.8,39.6,134,5.2,South
2051,2021,Rice,7726,20.2,380,9.5,5.9,40.0,148,6.5,South
2052,2024,Corn,7046,25.8,353,6.1,5.9,43.0,115,5.3,South
2053,2019,Corn,8105,27.5,351,6.3,5.9,24.2,144,6.1,West
2054,2022,Corn,5981,21.5,357,10.6,6.8,39.5,147,6.8,South
2055,2023,Wheat,8199,23.7,385,10.0,6.5,39.6,102,5.0,West
2056,2020,Wheat,6660,28.6,328,7.3,6.2,34.2,136,6.6,West
2057,2018,Corn,7492,22.0,380,8.6,6.8,30.4,110,4.5,North
2058,2018,Wheat,8294,18.1,399,9.9,6.4,25.1,142,6.5,West
2059,2018,Corn,5547,29.9,384,6.1,6.6,44.3,121,5.1,West
2060,2024,Wheat,4782,19.3,322,10.1,5.9,34.4,150,4.5,South
2061,2019,Rice,5815,17.6,326,8.4,6.7,26.5,138,4.5,West
2062,2021,Wheat,5886,22.3,298,6.6,6.8,38.0,113,5.6,North
2063,2022,Wheat,6948,18.6,396,7.0,6.7,40.4,127,4.8,North
2064,2020,Rice,7115,29.7,335,8.6,6.0,43.3,126,5.8,West
2065,2023,Corn,7837,22.0,371,9.8,5.8,34.2,121,6.5,North
2066,2020,Wheat,7625,27.7,358,8.1,6.7,41.0,119,6.1,West
2067,2023,Wheat,8420,19.3,391,6.7,6.1,42.0,153,6.4,South
2068,2024,Rice,8191,18.8,329,11.0,6.2,28.5,128,5.8,South
2069,2019,Rice,7261,25.4,289,9.0,6.3,32.8,151,6.1,South
2070,2018,Rice,6237,28.8,377,7.7,6.1,36.7,155,6.1,South
2071,2019,Rice,4921,18.5,295,10.1,6.4,35.3,154,4.9,North
2072,2024,Corn,7396,24.7,316,8.0,6.2,44.9,152,5.5,North
2073,2021,Wheat,8466,18.1,379,8.2,6.5,31.8,112,6.2,North
2074,2021,Wheat,8045,27.6,301,7.7,5.8,42.2,96,6.3,South
2075,2024,Wheat,8301,28.8,401,8.2,6.0,28.1,106,5.0,West
2076,2023,Wheat,5766,25.2,311,7.6,6.7,43.1,95,5.9,West
2077,2022,Corn,5877,25.9,360,11.9,5.8,24.3,118,4.7,South
2078,2022,Wheat,5911,17.7,352,7.5,6.3,39.3,155,6.4,North
2079,2023,Corn,7749,17.9,312,9.9,6.0,33.8,134,6.3,West
2080,2021,Corn,4974,19.3,399,7.2,6.6,24.2,124,6.4,West
2081,2021,Rice,8144,20.6,376,9.3,6.3,42.8,146,4.8,West
2082,2021,Rice,6952,26.9,409,9.1,6.5,38.0,116,5.3,South
2083,2019,Wheat,6583,22.7,293,9.3,6.6,39.2,154,5.3,West
2084,2021,Corn,4857,18.0,380,8.1,6.6,36.9,116,4.9,South
2085,2020,Rice,5057,28.1,340,11.2,6.2,43.3,114,4.6,West
2086,2018,Corn,8178,29.9,344,7.8,6.3,41.2,147,6.2,West
2087,2021,Rice,5850,22.9,365,11.2,6.5,30.2,122,6.0,West
2088,2023,Corn,5567,23.7,309,8.4,6.5,31.1,99,5.5,North
2089,2018,Wheat,6867,18.0,306,9.9,6.2,26.7,138,5.4,West
2090,2019,Wheat,5237,22.0,343,6.1,6.6,25.0,140,5.2,South
2091,2023,Corn,7205,21.8,312,8.6,5.8,40.4,117,4.8,North
2092,2018,Rice,7019,29.6,332,9.9,6.7,30.9,104,5.3,South
2093,2023,Rice,7840,25.6,359,7.8,6.4,35.4,101,5.9,North
2094,2019,Wheat,7072,27.2,409,7.9,6.4,38.8,128,4.5,West
2095,2020,Wheat,4524,18.7,373,8.4,6.4,39.0,140,4.9,South
2096,2019,Wheat,8344,22.4,389,7.6,5.8,42.2,145,5.7,South
2097,2019,Rice,5139,19.5,322,9.6,6.7,41.1,113,5.0,West
2098,2023,Rice,6074,28.2,394,6.3,6.6,38.5,109,5.0,North
2099,2024,Wheat,7728,19.0,378,11.0,6.5,28.3,139,5.4,North
2100,2022,Corn,7423,22.7,290,11.8,6.5,41.5,119,5.4,South
2101,2021,Rice,5708,17.7,331,7.0,6.3,26.3,129,5.1,South
2102,2021,Wheat,4673,25.2,405,7.4,6.4,28.9,102,4.8,South
2103,2020,Corn,5917,23.3,401,11.7,6.7,31.0,113,5.8,North
2104,2020,Rice,4685,23.5,311,7.0,6.2,35.9,132,5.9,North
2105,2021,Corn,5804,18.3,359,6.6,6.4,43.8,101,5.3,West
2106,2022,Corn,5500,23.7,308,10.8,6.2,36.1,135,6.7,South
2107,2021,Rice,8157,24.3,315,10.1,5.9,37.7,106,6.6,West
2108,2024,Wheat,5818,29.5,367,10.1,5.9,36.3,145,6.9,South
2109,2022,Corn,5027,17.4,391,7.4,5.9,25.8,139,5.8,North
2110,2020,Wheat,7759,29.0,331,8.3,6.2,30.3,127,6.2,South
2111,2018,Rice,7983,23.2,332,7.0,6.1,43.4,96,6.9,West
2112,2023,Corn,7519,19.7,347,7.0,5.9,29.0,99,6.7,West
2113,2024,Corn,5183,25.7,362,9.0,6.2,32.7,144,6.5,North
2114,2024,Corn,6733,23.7,394,10.0,6.0,36.2,138,6.6,South
2115,2020,Corn,6067,19.9,403,7.9,5.9,39.8,105,6.0,West
2116,2020,Corn,5074,25.1,405,8.9,6.1,35.9,136,6.7,West
2117,2019,Rice,6534,23.2,391,8.1,6.5,33.3,127,6.7,West
2118,2024,Corn,6384,26.0,280,11.5,5.8,38.7,159,6.0,North
2119,2019,Rice,5824,26.0,378,10.2,6.5,36.8,125,5.4,South
2120,2019,Wheat,4808,23.1,281,9.8,5.9,34.7,107,5.7,North
2121,2023,Rice,5712,22.1,338,10.4,6.7,36.4,129,4.5,South
2122,2019,Corn,6341,17.8,285,7.6,5.9,32.5,128,6.9,North
2123,2022,Wheat,5934,23.4,383,11.6,6.0,34.8,144,5.3,West
2124,2021,Rice,5037,20.2,362,7.2,6.0,33.4,156,5.8,South
2125,2018,Rice,7958,17.7,327,6.8,6.5,45.0,104,6.6,South
2126,2020,Rice,5357,21.3,399,11.4,6.6,25.2,103,4.9,West
2127,2022,Corn,6074,18.1,367,7.6,6.3,37.8,103,6.8,North
2128,2018,Corn,4692,24.5,407,11.1,6.5,29.1,130,4.9,North
2129,2024,Rice,5686,23.5,352,7.8,6.7,31.8,157,4.8,North
2130,2024,Rice,4552,27.3,311,7.8,6.4,28.0,130,6.3,North
2131,2024,Wheat,4974,20.5,383,11.7,6.1,39.8,134,5.5,South
2132,2022,Corn,4673,21.8,284,11.8,6.0,30.0,132,5.4,North
2133,2022,Corn,5719,26.0,364,11.8,6.4,37.7,115,5.6,South
2134,2020,Wheat,7782,29.9,296,6.8,6.6,35.9,107,5.6,North
2135,2021,Rice,6313,28.8,303,9.4,6.0,33.0,130,4.7,West
2136,2019,Rice,5199,23.8,407,6.2,6.8,31.2,158,4.6,South
2137,2024,Wheat,6937,25.8,370,10.1,5.9,38.7,133,5.5,South
2138,2023,Rice,7879,23.9,391,10.0,5.8,35.3,146,4.7,West
2139,2021,Rice,4956,22.7,361,12.0,6.5,25.0,155,5.1,South
2140,2023,Wheat,5854,24.8,365,11.3,6.2,39.5,152,6.6,West
2141,2020,Wheat,8297,22.0,285,7.3,6.5,39.9,119,5.1,South
2142,2020,Wheat,6018,20.6,307,8.7,6.0,32.8,140,6.8,North
2143,2020,Rice,7900,26.2,385,7.5,6.0,24.4,129,5.6,South
2144,2018,Wheat,7600,28.3,400,6.3,6.3,28.0,154,6.0,South
2145,2023,Rice,8254,20.7,287,8.3,6.7,36.1,102,5.1,South
2146,2021,Corn,6669,26.2,297,6.6,6.2,39.9,155,4.5,North
2147,2021,Corn,8029,22.6,316,10.6,5.9,25.8,109,5.6,South
2148,2022,Wheat,6965,20.9,317,8.3,6.5,38.1,132,6.1,West
2149,2022,Rice,4658,25.1,281,6.2,6.7,34.5,147,5.0,South
2150,2024,Rice,7145,29.2,338,7.6,6.2,28.9,135,6.8,South
2151,2022,Rice,6337,21.6,354,8.0,6.3,34.2,107,5.0,West
2152,2020,Wheat,5015,26.9,385,8.7,6.8,25.3,149,6.4,South
2153,2021,Rice,5525,21.1,361,10.1,6.5,37.8,139,6.0,North
2154,2023,Rice,8216,27.5,392,10.7,6.5,26.6,149,4.6,South
2155,2020,Rice,7873,26.9,360,11.9,5.9,24.5,125,5.6,South
2156,2018,Corn,7650,27.0,347,11.1,6.4,24.6,106,4.8,North
2157,2022,Rice,5158,30.0,298,8.7,6.7,38.9,134,5.4,West
2158,2020,Corn,5177,18.8,366,6.6,6.5,29.1,113,5.8,South
2159,2020,Rice,4814,22.1,306,10.0,5.9,35.1,115,5.4,South
2160,2018,Rice,8321,25.2,395,8.5,6.5,25.0,135,5.1,South
2161,2019,Rice,6875,24.7,395,8.4,6.6,24.9,153,5.6,North
2162,2021,Corn,4775,27.1,324,8.0,6.2,41.8,101,6.0,West
2163,2023,Rice,7263,17.6,357,7.0,6.6,38.9,127,6.7,North
2164,2024,Wheat,4951,26.2,347,6.5,6.5,26.3,100,5.9,North
2165,2019,Rice,6088,26.6,366,10.9,6.1,35.5,96,5.1,North
2166,2022,Corn,4985,17.8,315,7.1,6.5,27.2,101,6.8,South
2167,2020,Corn,5630,24.0,306,10.2,6.4,40.4,137,4.9,North
2168,2018,Wheat,5066,20.2,306,10.4,6.1,38.0,107,5.1,South
2169,2018,Wheat,4745,27.4,374,7.8,6.3,43.9,110,4.8,West
2170,2021,Wheat,7482,17.6,355,9.3,6.3,35.9,111,6.0,North
2171,2019,Corn,5388,18.9,355,10.3,5.9,32.2,102,4.9,West
2172,2024,Rice,6711,18.4,407,6.8,6.5,38.6,153,4.8,North
2173,2021,Rice,7074,17.8,301,7.0,5.9,36.5,106,6.5,West
2174,2020,Wheat,4500,24.8,354,10.3,6.0,32.6,114,6.3,North
2175,2021,Wheat,7410,28.3,383,7.7,6.8,32.8,159,6.7,West
2176,2023,Rice,6684,23.6,331,6.6,6.0,27.1,99,5.9,West
2177,2018,Wheat,4650,19.7,382,9.1,6.2,34.0,149,5.1,North
2178,2018,Rice,7751,21.5,381,10.8,6.8,27.2,142,6.3,West
2179,2022,Rice,8493,21.7,400,7.8,6.6,27.6,112,5.7,West
2180,2022,Rice,6267,22.9,356,7.6,6.5,27.3,133,5.7,West
2181,2024,Rice,7551,22.5,285,7.2,6.6,34.1,101,5.0,North
2182,2020,Corn,6010,25.7,333,8.9,5.9,34.2,115,6.4,South
2183,2023,Rice,8271,21.4,281,9.4,6.7,25.3,95,6.7,West
2184,2019,Wheat,7589,25.6,351,6.8,6.1,37.7,108,5.5,South
2185,2021,Wheat,5748,24.1,370,10.8,6.0,27.4,146,5.0,North
2186,2024,Wheat,5628,17.6,407,9.2,6.6,33.7,127,4.8,West
2187,2020,Wheat,5498,29.0,367,9.4,6.1,36.8,109,4.8,North
2188,2022,Corn,8289,19.3,375,6.7,6.0,25.1,144,5.3,South
2189,2021,Rice,5197,22.9,321,9.7,6.6,35.7,107,6.5,North
2190,2022,Rice,5588,29.3,378,10.1,5.9,43.3,127,6.8,South
2191,2021,Wheat,6880,20.2,330,8.4,5.9,26.8,147,6.5,South
2192,2019,Wheat,6919,17.3,282,9.6,6.6,43.3,95,5.4,North
2193,2020,Wheat,5730,23.4,316,7.4,6.2,41.2,138,6.1,South
2194,2021,Rice,7800,19.9,301,9.8,6.6,35.3,159,4.8,West
2195,2023,Corn,7128,24.6,382,9.2,6.6,26.6,157,6.4,West
2196,2024,Corn,7713,27.6,377,9.5,6.4,39.2,110,6.2,West
2197,2018,Corn,8289,23.6,366,7.5,6.5,37.6,113,5.7,South
2198,2023,Corn,5185,25.4,341,10.7,5.9,38.0,128,6.4,South
2199,2023,Wheat,7256,25.7,314,11.0,6.0,26.7,133,6.3,South
2200,2024,Rice,7902,27.7,308,6.6,6.6,34.3,154,6.7,West
2201,2018,Wheat,5427,25.9,345,11.2,6.1,37.7,109,5.7,North
2202,2023,Corn,6342,29.7,404,10.7,5.8,33.8,146,6.5,West
2203,2021,Wheat,6232,22.9,329,9.3,6.8,36.4,145,6.0,North
2204,2021,Corn,5239,17.7,293,6.3,6.5,35.9,140,6.3,West
2205,2021,Rice,4770,22.1,327,9.1,6.6,33.0,130,4.9,North
2206,2018,Corn,6472,27.9,323,8.8,6.7,27.2,148,5.3,South
2207,2023,Wheat,5210,18.7,351,7.3,6.4,41.1,108,5.1,South
2208,2018,Rice,4824,26.6,408,11.0,6.3,37.5,98,4.8,South
2209,2021,Corn,5489,24.0,282,7.9,6.0,37.5,132,5.8,South
2210,2024,Corn,6050,28.7,397,9.5,6.0,25.1,127,4.9,North
2211,2023,Rice,5297,26.5,377,8.7,6.3,39.8,134,5.0,West
2212,2023,Wheat,6369,25.6,327,11.3,5.9,28.5,152,5.7,South
2213,2022,Rice,7467,28.5,405,9.0,6.6,38.4,101,5.9,North
2214,2022,Wheat,8299,28.8,288,7.7,6.4,38.3,149,5.1,West
2215,2019,Corn,7094,22.0,325,10.3,6.7,25.9,150,4.8,North
2216,2020,Corn,5592,29.1,337,10.6,6.4,35.2,103,6.4,West
2217,2022,Rice,7455,17.7,294,11.6,6.8,38.9,144,6.3,North
2218,2018,Corn,4711,26.9,398,10.5,6.1,40.4,101,5.1,South
2219,2022,Rice,6081,21.4,394,6.3,6.1,32.7,137,6.3,North
2220,2019,Corn,7953,23.3,325,11.0,6.2,24.5,136,5.1,South
2221,2023,Corn,8331,27.9,350,8.9,6.1,38.7,128,6.1,West
2222,2019,Wheat,5943,25.3,314,6.9,6.6,30.6,133,6.3,West
2223,2023,Rice,7144,22.9,345,11.9,6.3,29.0,101,5.4,North
2224,2024,Rice,4547,19.1,336,9.9,6.3,40.7,143,5.2,West
2225,2024,Corn,4730,29.2,391,11.4,6.3,31.9,144,6.0,North
2226,2023,Wheat,5078,21.3,313,7.1,6.6,34.3,132,4.6,North
2227,2020,Wheat,8048,18.3,310,10.7,6.0,32.1,102,6.9,North
2228,2022,Rice,7497,24.3,291,9.6,6.1,43.1,100,4.6,West
2229,2018,Rice,5612,22.3,344,8.3,6.7,32.9,139,6.8,South
2230,2018,Corn,6254,24.7,408,7.3,6.2,31.8,128,7.0,North
2231,2021,Rice,7479,20.0,358,8.0,6.8,28.5,156,4.8,West
2232,2023,Corn,6599,21.9,293,9.2,6.2,33.3,138,5.9,South
2233,2018,Wheat,8105,29.6,346,10.4,6.2,34.4,151,6.2,West
2234,2020,Rice,4921,29.2,363,8.6,6.4,37.9,154,6.5,West
2235,2023,Wheat,5110,28.2,407,8.4,6.6,39.3,151,4.6,South
2236,2020,Wheat,4945,27.1,329,6.1,6.5,28.9,157,5.4,West
2237,2018,Corn,5460,19.0,398,11.7,6.6,43.8,117,5.0,West
2238,2018,Wheat,4630,23.1,407,10.6,6.8,37.3,113,6.7,West
2239,2021,Corn,7147,26.5,379,12.0,6.6,26.1,140,6.9,North
2240,2018,Corn,6171,20.4,370,11.5,6.3,40.1,110,6.1,West
2241,2023,Wheat,6921,17.4,395,11.2,6.5,38.7,118,6.1,South
2242,2024,Wheat,7098,22.4,290,6.3,6.6,38.5,133,5.6,North
2243,2023,Corn,7077,22.5,289,9.7,6.0,40.4,159,5.0,West
2244,2023,Corn,7676,17.8,330,7.4,6.1,37.4,113,5.0,South
2245,2021,Wheat,6934,21.2,311,11.3,6.4,24.4,117,5.6,North
2246,2021,Corn,8229,28.9,351,10.9,6.2,37.8,125,4.9,West
2247,2018,Corn,4835,20.3,326,7.0,5.9,40.8,101,5.4,South
2248,2019,Rice,7283,24.4,292,10.7,6.7,35.5,117,6.2,North
2249,2019,Rice,5640,23.3,401,11.9,6.3,27.9,124,6.7,West
2250,2021,Rice,5524,28.2,346,8.1,6.4,38.1,141,5.9,North
2251,2018,Rice,6152,25.5,332,8.2,6.5,25.0,133,5.8,North
2252,2019,Rice,7443,19.1,332,6.2,5.8,33.7,130,5.0,West
2253,2018,Corn,5037,18.9,400,10.4,6.0,34.1,109,6.5,North
2254,2018,Corn,8007,24.2,321,11.0,6.7,44.6,127,6.0,West
2255,2018,Rice,4995,17.6,308,6.3,6.6,27.8,129,6.9,West
2256,2022,Wheat,7583,22.1,326,11.7,5.9,35.3,117,6.1,North
2257,2023,Rice,7865,22.2,309,6.4,6.6,38.6,152,6.0,South
2258,2018,Wheat,5007,19.6,402,9.4,6.7,24.3,122,5.2,West
2259,2022,Corn,8424,20.9,293,11.6,6.0,43.0,137,6.0,North
2260,2021,Wheat,5180,21.3,358,11.6,5.9,38.6,99,6.2,South
2261,2019,Corn,7112,17.2,390,6.8,6.7,37.1,108,5.2,North
2262,2023,Wheat,5280,27.5,338,11.8,6.4,37.5,101,4.6,South
2263,2024,Corn,5259,29.4,389,7.6,6.8,26.4,147,6.2,West
2264,2019,Corn,4627,20.8,385,8.0,6.5,44.1,97,5.7,West
2265,2023,Rice,7647,18.5,343,10.1,6.3,33.3,107,5.5,North
2266,2024,Corn,5792,29.4,323,6.7,6.0,36.0,97,6.3,North
2267,2019,Rice,6693,26.6,293,9.2,6.5,29.3,152,6.3,South
2268,2023,Rice,8486,28.6,370,10.9,5.9,26.3,129,5.3,North
2269,2019,Rice,7974,21.7,323,9.0,6.2,40.5,151,4.6,South
2270,2019,Wheat,7046,23.3,340,6.4,6.1,36.3,146,5.0,South
2271,2024,Wheat,5465,29.1,281,10.8,6.4,32.2,96,6.8,South
2272,2019,Corn,5059,23.0,358,7.4,6.0,27.3,106,5.2,West
2273,2019,Rice,5722,25.7,353,10.8,6.0,32.5,96,4.9,South
2274,2024,Rice,8154,26.2,288,11.6,5.9,24.1,133,6.7,West
2275,2021,Corn,5423,27.9,347,10.5,6.1,44.5,149,4.6,West
2276,2018,Rice,8074,29.7,341,6.2,6.7,37.3,145,6.5,North
2277,2020,Corn,6127,21.4,386,10.0,6.2,30.1,158,6.4,South
2278,2022,Rice,6950,20.2,353,7.6,6.7,42.1,130,5.9,South
2279,2020,Wheat,7523,18.0,380,7.2,6.5,26.0,117,6.1,South
2280,2020,Corn,7780,28.1,305,10.6,6.5,28.7,156,4.9,South
2281,2023,Corn,6889,20.8,322,7.7,6.6,30.8,109,5.9,South
2282,2018,Wheat,8422,17.6,388,6.9,6.3,43.0,152,5.9,West
